,index,Regressor,S,p-value,Sig.
0,0,CategoryID,0.2000620656415196,0.0,True
1,0,GoChoice,0.0013396778847214084,0.8037,False
2,0,Reward,0.015098557215188706,0.6033,False
3,0,StimulusSF_0.023,0.047047966748160266,0.002,True
4,0,StimulusSF_0.027,0.09660958327022484,0.0,True
5,0,StimulusSF_0.033,0.026124554390838474,0.1329,False
6,0,StimulusSF_0.06,0.049845214757752644,0.0011,True
7,0,StimulusSF_0.1,0.03942479529941185,0.0083,True
8,0,StimulusSF_0.25,0.03180736494541601,0.0478,True
9,0,StimulusORI_0,0.060542232232923356,0.0014,True
10,0,StimulusORI_15,0.030943744192664956,0.4303,False
11,0,StimulusORI_30,0.04980165860506927,0.0398,True
12,0,StimulusORI_60,0.03277135643709056,0.1861,False
13,0,StimulusORI_75,0.013082845380813585,0.4446,False
14,0,StimulusORI_90,0.04518095226903529,0.052,False
