,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.9064996464858184,0.0,True
1,0,GoChoice,-0.21380983817686766,0.03,True
2,0,Reward,0.6396064252002243,0.0,True
3,0,StimulusSF_0.023,0.10631547330057799,0.4225,False
4,0,StimulusSF_0.027,0.331457347057999,0.0155,True
5,0,StimulusSF_0.033,0.3860940585223305,0.0046,True
6,0,StimulusSF_0.06,0.5542728227323186,0.0,True
7,0,StimulusSF_0.1,0.26903622313414743,0.0309,True
8,0,StimulusSF_0.25,0.3551050205402311,0.0046,True
9,0,StimulusORI_0,0.7471448399319527,0.0,True
10,0,StimulusORI_15,0.13053605729676873,0.3268,False
11,0,StimulusORI_30,0.5676697867617186,0.0,True
12,0,StimulusORI_60,0.3686580197692562,0.0,True
13,0,StimulusORI_75,0.6193073065201901,0.0,True
14,0,StimulusORI_90,0.5027738498667083,0.0,True
