,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.30180042599765117,0.0643,False
1,0,GoChoice,0.14758312269811985,0.4643,False
2,0,Reward,0.10663716208420362,0.5293,False
3,0,StimulusSF_0.023,0.7457749092011077,0.0,True
4,0,StimulusSF_0.027,0.6147578172511579,0.0,True
5,0,StimulusSF_0.033,0.2089941234594588,0.1625,False
6,0,StimulusSF_0.06,0.793434885512885,0.0,True
7,0,StimulusSF_0.1,0.36476722011013474,0.0136,True
8,0,StimulusSF_0.25,0.13880939373547696,0.3325,False
9,0,StimulusORI_0,0.047881820425339894,0.7855,False
10,0,StimulusORI_15,0.09240218372536979,0.8874,False
11,0,StimulusORI_30,0.2705791419947804,0.0035,True
12,0,StimulusORI_60,0.12288515607386463,0.4416,False
13,0,StimulusORI_75,0.585842573705813,0.0,True
14,0,StimulusORI_90,0.2876552657020567,0.0007,True
