,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.3868420359369559,0.01,True
1,0,GoChoice,0.19389841744820713,0.2012,False
2,0,Reward,0.3868420359369559,0.0021,True
3,0,StimulusSF_0.023,0.5929471282487897,0.0,True
4,0,StimulusSF_0.027,0.5080184506322898,0.0003,True
5,0,StimulusSF_0.033,0.6124673661149707,0.0,True
6,0,StimulusSF_0.06,0.318868037551282,0.0217,True
7,0,StimulusSF_0.1,-0.06683699451846215,0.6679,False
8,0,StimulusSF_0.25,0.45115631557561897,0.0038,True
9,0,StimulusORI_0,0.444211237826593,0.0001,True
10,0,StimulusORI_15,0.23132492521548106,0.1066,False
11,0,StimulusORI_30,0.23844545020921545,0.0606,False
12,0,StimulusORI_60,0.19017985105695734,0.1507,False
13,0,StimulusORI_75,0.08923324995229172,0.8899,False
14,0,StimulusORI_90,0.1651365291379075,0.314,False
