,index,Regressor,deltaR,p-value,Sig.
0,0,CategoryID,0.49100643143093775,0.0,True
1,0,GoChoice,0.02923991616416355,0.96075,False
2,0,Reward,0.06575728154283117,0.7863461538461538,False
3,0,StimulusSF_0.023,0.3167254231220355,0.012,True
4,0,StimulusSF_0.027,0.33692651054858985,0.00825,True
5,0,StimulusSF_0.033,0.16640716181482917,0.26533333333333337,False
6,0,StimulusSF_0.06,0.14482007846597172,0.2877,False
7,0,StimulusSF_0.1,0.47205576612900646,0.0,True
8,0,StimulusSF_0.25,0.35332904006167093,0.00825,True
9,0,StimulusORI_0,0.05865627566210349,0.9815,False
10,0,StimulusORI_15,0.2647402966547464,0.012249999999999999,True
11,0,StimulusORI_30,0.021153041668921735,0.5595,False
12,0,StimulusORI_60,0.19273899287321494,0.222,False
13,0,StimulusORI_75,0.11404188164981388,0.5337272727272728,False
14,0,StimulusORI_90,0.18384209746715935,0.18235714285714286,False
