,index,Regressor,deltaR
0,0,CategoryID,0.27164063125180943
1,0,GoChoice,0.08557187250508369
2,0,Reward,0.05618265552613985
3,0,StimulusSF_0.023,0.16995279666323942
4,0,StimulusSF_0.027,0.5335396561618881
5,0,StimulusSF_0.033,0.30325776470923244
6,0,StimulusSF_0.06,0.12182453829515646
7,0,StimulusSF_0.1,0.19224300850803033
8,0,StimulusSF_0.25,0.36847712465835647
9,0,StimulusORI_0,0.17599617493873118
10,0,StimulusORI_15,0.07884614565115505
11,0,StimulusORI_30,0.3158568770919977
12,0,StimulusORI_60,0.1301351133439746
13,0,StimulusORI_75,0.3399485636728199
14,0,StimulusORI_90,0.4962190966788329
