,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.1394878942978968,0.0,True
1,0,GoChoice,-0.0033499935329037054,0.6701,False
2,0,Reward,0.016443032321980824,0.7521,False
3,0,StimulusSF_0.023,0.04817865405633418,0.0035,True
4,0,StimulusSF_0.027,0.07146049468994234,0.0,True
5,0,StimulusSF_0.033,0.048097039518190304,0.0045,True
6,0,StimulusSF_0.06,0.037490983098071834,0.0294,True
7,0,StimulusSF_0.1,0.02729674669726731,0.1259,False
8,0,StimulusSF_0.25,0.014714095262969545,0.4447,False
9,0,StimulusORI_0,0.058180881249137534,0.0015,True
10,0,StimulusORI_15,0.04486804190138013,0.0075,True
11,0,StimulusORI_30,0.03140103275093055,0.0941,False
12,0,StimulusORI_60,0.03270486413556418,0.0569,False
13,0,StimulusORI_75,0.042283594987953706,0.0078,True
14,0,StimulusORI_90,0.04697857992063492,0.012,True
