,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.005164340784828525,0.7619,False
1,0,GoChoice,-0.004351273683061541,0.7441,False
2,0,Reward,-0.00451886364277021,0.8812,False
3,0,StimulusSF_0.023,-0.0037188796458678397,0.953,False
4,0,StimulusSF_0.027,-0.0007658083387830361,0.9445,False
5,0,StimulusSF_0.033,-0.0017351504269271234,0.9615,False
6,0,StimulusSF_0.06,0.00030881639507529535,0.9284,False
7,0,StimulusSF_0.1,-0.004551588976864196,0.9613,False
8,0,StimulusSF_0.25,-0.0031716023656246373,0.9531,False
9,0,StimulusORI_0,-0.0015974325312122506,0.3613,False
10,0,StimulusORI_15,-0.0046215931726137915,0.1853,False
11,0,StimulusORI_30,-0.002147229988012589,0.1686,False
12,0,StimulusORI_60,0.0021820399208089536,0.2563,False
13,0,StimulusORI_75,-0.0002458346568488534,0.1796,False
14,0,StimulusORI_90,-0.003729533909998861,0.1842,False
