,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.0005459840005077321,0.6885,False
1,0,GoChoice,0.01269404313629599,0.8202,False
2,0,Reward,0.03587688781138676,0.8923,False
3,0,StimulusSF_0.023,-0.0034149539867067424,0.8444,False
4,0,StimulusSF_0.027,-0.0013116148424411889,0.8629,False
5,0,StimulusSF_0.033,-0.006894121382882923,0.8082,False
6,0,StimulusSF_0.06,0.0005125098238985271,0.8827,False
7,0,StimulusSF_0.1,0.008441546396066618,0.9462,False
8,0,StimulusSF_0.25,0.0011044452070224642,0.911,False
9,0,StimulusORI_0,-0.0001955470368801837,0.354,False
10,0,StimulusORI_15,-0.002328577527996034,0.2758,False
11,0,StimulusORI_30,-0.0017861334747209245,0.3071,False
12,0,StimulusORI_60,5.6004656620256554e-05,0.3084,False
13,0,StimulusORI_75,-0.0030947549448868406,0.3223,False
14,0,StimulusORI_90,0.017661958220865304,0.6518,False
