,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.00017117692485763003,0.9836,False
1,0,GoChoice,0.07639923854648656,0.9836,False
2,0,Reward,0.02845492466608901,0.9836,False
3,0,StimulusSF_0.023,-3.0273811586989385e-05,0.9836,False
4,0,StimulusSF_0.027,4.7745642754809525e-05,0.9836,False
5,0,StimulusSF_0.033,0.0009037294243824934,0.9836,False
6,0,StimulusSF_0.06,4.045647861627977e-05,0.9836,False
7,0,StimulusSF_0.1,-0.0004840047086595023,0.9836,False
8,0,StimulusSF_0.25,-0.0006707294135433473,0.9836,False
9,0,StimulusORI_0,6.761368173840987e-05,0.9836,False
10,0,StimulusORI_15,-0.005592405646576704,0.9836,False
11,0,StimulusORI_30,1.0735175577480938e-05,0.9836,False
12,0,StimulusORI_60,-0.000354493175987014,0.9836,False
13,0,StimulusORI_75,-0.00026159190879188055,0.9836,False
14,0,StimulusORI_90,-0.001388561673597355,0.9836,False
