,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.1824790313240553,0.0,True
1,0,GoChoice,0.058838460285680044,0.0726,False
2,0,Reward,-0.038152353353822915,0.125,False
3,0,StimulusSF_0.023,0.08717989295292494,0.0,True
4,0,StimulusSF_0.027,0.07718139942197044,0.0,True
5,0,StimulusSF_0.033,0.0665991499650709,0.0,True
6,0,StimulusSF_0.06,0.03465582725882408,0.0388,True
7,0,StimulusSF_0.1,0.032238430427507944,0.0369,True
8,0,StimulusSF_0.25,0.02669955726715459,0.1029,False
9,0,StimulusORI_0,0.04647168577696158,0.0464,True
10,0,StimulusORI_15,0.051435567711030306,0.0198,True
11,0,StimulusORI_30,0.05308635047380354,0.0243,True
12,0,StimulusORI_60,0.060678655458167564,0.0022,True
13,0,StimulusORI_75,0.05418124208089342,0.0079,True
14,0,StimulusORI_90,0.05576622811750237,0.0071,True
