,index,Regressor,T1_vs_T5_S,p-value,Sig.
0,0,CategoryID,0.16677872422492268,0.0,True
1,0,GoChoice,0.03665477455133968,0.2196,False
2,0,Reward,0.024369409099871703,0.4351,False
3,0,StimulusSF_0.023,0.04293610316495716,0.0154,True
4,0,StimulusSF_0.027,0.06048624731724789,0.0024,True
5,0,StimulusSF_0.033,0.0823812836109167,0.0002,True
6,0,StimulusSF_0.06,0.03924640699846492,0.0464,True
7,0,StimulusSF_0.1,0.06512794422053728,0.0017,True
8,0,StimulusSF_0.25,0.034733324092592596,0.056,False
9,0,StimulusORI_0,0.031050762219869438,0.4287,False
10,0,StimulusORI_15,0.024990190910261056,0.6447,False
11,0,StimulusORI_30,0.029482178447291923,0.7112,False
12,0,StimulusORI_60,0.05758922091917172,0.011,True
13,0,StimulusORI_75,0.06662368813005035,0.0016,True
14,0,StimulusORI_90,0.0788020289402024,0.0038,True
