,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-7.690077830618813e-05,0.9772,False
1,0,GoChoice,0.06113283115034013,0.9772,False
2,0,Reward,0.012284162799812814,0.9772,False
3,0,StimulusSF_0.023,0.006614160846056649,0.9772,False
4,0,StimulusSF_0.027,-0.0010160704263370013,0.9772,False
5,0,StimulusSF_0.033,-0.000863480988636256,0.9772,False
6,0,StimulusSF_0.06,-0.0009974338412012118,0.9772,False
7,0,StimulusSF_0.1,-0.000623042999436052,0.9772,False
8,0,StimulusSF_0.25,-0.0016475629603091568,0.9772,False
9,0,StimulusORI_0,-0.0002591047116256573,0.8447499999999999,False
10,0,StimulusORI_15,0.005293341292658127,0.8244,False
11,0,StimulusORI_30,-2.737157626853115e-05,0.8244,False
12,0,StimulusORI_60,-0.0010898970726566093,0.8244,False
13,0,StimulusORI_75,-0.0013214513009250362,0.8244,False
14,0,StimulusORI_90,-0.0011226209739466642,0.8244,False
