,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,0.0003386706271395479,0.9944,False
1,0,GoChoice,0.014596841156528567,0.9944,False
2,0,Reward,0.0008036868047389123,0.9944,False
3,0,StimulusSF_0.023,-0.002418385310177462,0.9944,False
4,0,StimulusSF_0.027,-0.0021958748271582174,0.9944,False
5,0,StimulusSF_0.033,-0.0026249067660490955,0.9944,False
6,0,StimulusSF_0.06,0.003943252741464343,0.9944,False
7,0,StimulusSF_0.1,0.005468564141938137,0.9944,False
8,0,StimulusSF_0.25,0.01745086950310326,0.9944,False
9,0,StimulusORI_0,-0.0003764514244079531,0.9944,False
10,0,StimulusORI_15,-0.012603615505159316,0.9870000000000001,False
11,0,StimulusORI_30,-0.0030811408462703693,0.9870000000000001,False
12,0,StimulusORI_60,-0.0008872718911216992,0.9870000000000001,False
13,0,StimulusORI_75,0.010534052993687815,0.9870000000000001,False
14,0,StimulusORI_90,-0.003205710235399145,0.9870000000000001,False
