,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-0.00025729221819124903,0.8106,False
1,0,GoChoice,0.005038238529744457,0.8792,False
2,0,Reward,0.0011658883550006577,0.8216,False
3,0,StimulusSF_0.023,-0.0010485128830830803,0.9812,False
4,0,StimulusSF_0.027,0.00045110115154807506,0.9959,False
5,0,StimulusSF_0.033,-0.0010143398517169638,0.9661,False
6,0,StimulusSF_0.06,-0.0005190659665455233,0.9719,False
7,0,StimulusSF_0.1,-0.0003692038841808798,0.9918,False
8,0,StimulusSF_0.25,-0.0003367743457336342,0.9807,False
9,0,StimulusORI_0,0.0015562849580949556,0.4789,False
10,0,StimulusORI_15,0.0012297256081274521,0.272,False
11,0,StimulusORI_30,0.00058349735166556,0.2227,False
12,0,StimulusORI_60,-0.0007142011839713636,0.1925,False
13,0,StimulusORI_75,-0.0010256155807679274,0.1971,False
14,0,StimulusORI_90,-0.0024332881070703305,0.2231,False
