,index,Regressor,T1_vs_T5_deltaR,p-value,Sig.
0,0,CategoryID,-6.393309853214291e-05,0.7817,False
1,0,GoChoice,0.025925062747371275,0.8585,False
2,0,Reward,0.0018004158343700172,0.7458,False
3,0,StimulusSF_0.023,-9.042093681088659e-05,0.927,False
4,0,StimulusSF_0.027,-0.00013155319946145383,0.923,False
5,0,StimulusSF_0.033,-0.000810662052034089,0.8899,False
6,0,StimulusSF_0.06,0.00025265248114531014,0.8923,False
7,0,StimulusSF_0.1,0.0008416753286993872,0.9175,False
8,0,StimulusSF_0.25,6.461920628078599e-05,0.9233,False
9,0,StimulusORI_0,-0.0014143080539812114,0.331,False
10,0,StimulusORI_15,-6.301329959462754e-06,0.3287,False
11,0,StimulusORI_30,-0.0002028280537973437,0.2889,False
12,0,StimulusORI_60,-5.8502379859382e-06,0.3419,False
13,0,StimulusORI_75,-0.0003250544139590805,0.297,False
14,0,StimulusORI_90,-0.000429625643415088,0.2998,False
